"","Sites","AB","SR","BI","Com.dist","Hunting"
"17127","7",18,13,76.528,-0.838026006137351,1
"17128","8",17,12,74.81,-0.475063981855253,1
"17129","9",34,17,92.734,0.260403464110951,1
"17130","10",31,15,111.69,0.799097476221641,1
"17131","11",15,10,52.196,-1.16142935035878,1
"17132","12",16,10,62.834,-0.891118632925657,1
"17133","13",19,15,114.18,-0.285775515484963,1
"17134","14",22,12,118.096,0.287016934702205,1
"17135","15",43,18,423.356,0.752674627610676,1
"17136","16",10,8,66.72,-0.91490098004188,0
"17137","17",15,10,96.628,-0.557811453649108,0
"17138","18",17,13,125.99,-0.304285394021343,0
"17139","19",36,20,232.818,0.254564067111078,0
"17140","20",40,18,170.928,0.683746376927438,0
"17141","1",11,6,88.49,-1.11989236443133,0
"17142","2",15,9,95.238,-0.774654473469132,0
"17143","3",17,10,144.61,-0.121274545357364,0
"17144","4",39,15,357.618,0.402591289386846,0
"17145","5",20,11,244.14,-0.103848950764644,0
"17146","6",7,5,33.05,-1.65297188284342,1
"17147","7",9,8,35.088,-0.838026006137351,1
"17148","8",7,5,44.64,-0.475063981855253,1
"17149","9",20,12,115.642,0.260403464110951,1
"17150","10",15,8,85.65,0.799097476221641,1
"17151","11",5,4,33.188,-1.16142935035878,1
"17152","12",9,5,46.988,-0.891118632925657,1
"17153","13",13,7,108.26,-0.285775515484963,1
"17154","14",23,11,127.088,0.287016934702205,1
"17155","15",19,13,481.648,0.752674627610676,1
"17156","16",11,7,66.42,-0.91490098004188,0
"17157","17",15,8,131.898,-0.557811453649108,0
"17158","18",7,5,65.48,-0.304285394021343,0
"17159","19",30,14,198.628,0.254564067111078,0
"17160","20",30,12,158.62,0.683746376927438,0
"17161","1",14,10,104.09,-1.11989236443133,0
"17162","2",15,12,61.838,-0.774654473469132,0
"17163","3",21,13,246.92,-0.121274545357364,0
"17164","4",37,19,352.368,0.402591289386846,0
"17165","5",21,15,211.78,-0.103848950764644,0
"17166","6",7,6,43,-1.65297188284342,1
"17167","7",13,11,73.926,-0.838026006137351,1
"17168","8",9,9,49.58,-0.475063981855253,1
"17169","9",27,15,124.406,0.260403464110951,1
"17170","10",20,14,272.618,0.799097476221641,1
"17171","11",7,7,30.488,-1.16142935035878,1
"17172","12",15,10,48.384,-0.891118632925657,1
"17173","13",16,13,118.1,-0.285775515484963,1
"17174","14",21,14,92.916,0.287016934702205,1
"17175","15",27,20,538.058,0.752674627610676,1
"17176","16",7,6,75.88,-0.91490098004188,0
"17177","17",19,11,175.568,-0.557811453649108,0
"17178","18",19,15,143.15,-0.304285394021343,0
"17179","19",26,19,164.838,0.254564067111078,0
"17180","20",25,15,181.558,0.683746376927438,0
"17181","1",21,14,199.9,-1.11989236443133,0
"17182","2",27,14,170.088,-0.774654473469132,0
"17183","3",25,13,262.27,-0.121274545357364,0
"17184","4",51,20,559.998,0.402591289386846,0
"17185","5",31,16,212.41,-0.103848950764644,0
"17186","6",11,6,100.15,-1.65297188284342,1
"17187","7",16,11,71.164,-0.838026006137351,1
"17188","8",13,10,62.518,-0.475063981855253,1
"17189","9",27,17,202.914,0.260403464110951,1
"17190","10",17,10,95.68,0.799097476221641,1
"17191","11",11,7,17.888,-1.16142935035878,1
"17192","12",17,14,109.526,-0.891118632925657,1
"17193","13",12,10,94.968,-0.285775515484963,1
"17194","14",24,16,146.256,0.287016934702205,1
"17195","15",27,17,355.786,0.752674627610676,1
"17196","16",14,10,69.48,-0.91490098004188,0
"17197","17",27,14,294.006,-0.557811453649108,0
"17198","18",15,10,84.2,-0.304285394021343,0
"17199","19",39,18,360.738,0.254564067111078,0
